etat,marque,annee,boite_vitesse,adresse,prix,image_link-src
D'occasion,Ford,2012,Automatique,Fenêtre mermoz,4500000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/038913fff8b6de00efb3b04af38c3f9d/-/horizon-files-prod/ed/picture/q78wrrme/66885c1fc6e18a3af2ab8d6eec78922243ba96ad.jpg
Venant,Dodge,2016,Automatique,Sud foire,6300000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/15d156b18ee8928227941fe53aeec7c3/-/horizon-files-prod/ed/picture/qv4w55q2/897d3213655f547e5f7792715bf97a5a7a8945b8.jpg
Venant,Mitsubishi,2016,Automatique,Médina,7600000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/5d07bd29cd5c76792a36d3599665f565/-/horizon-files-prod/ed/picture/q9mj6660/12a777b6c765f6131b16da73e05847d856752907.jpg
Venant,Hyundai,2020,Automatique,VDN,15500000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/20097bd955f80ccd564ece0f9ded8a45/-/horizon-files-prod/ed/picture/q6xd442p/454ac3af9bdb140b90fb4bd94ec18927da07f553.jpg
D'occasion,Kia,2012,Manuelle,Plateau,1700000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/b473cde93afebfe9c9386cf21e15ce5f/-/horizon-files-prod/ed/picture/q44nr604/a844309c3503e6d5bb7aa19c1f9854d57c65a707.jpg
Venant,BMW,2017,Automatique,VDN,12800000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/ce7ff969a3184ae747ac257ee8f54a79/-/horizon-files-prod/ed/picture/qm5g99kj/fbd31ef0042d6732d27e80449350f67c93f63a4f.jpg
Venant,Range Rover,2016,Automatique,Sicap foire,14000000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/9f6044f25fbaf36de377348ab15a1505/-/horizon-files-prod/ed/picture/qxj244pv/c24de0d966a8888d53a972c01b033f1fe758d541.jpg
Venant,BMW,2017,Automatique,Plateau,13000000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/d3610a4d8e3ce11a9358813bad449d52/-/horizon-files-prod/ed/picture/qxj2vrkw/7a65e288aaf987a606ae07c5d873356a588eb783.jpg
D'occasion,Hyundai,2015,Automatique,Ouest foire,5650000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/8b24276acf94ae53fc33a50e3c2929f9/-/horizon-files-prod/ed/picture/qzvp55w9/b2a3f29fbb3d47f0fb5c1ef6a5c5c3d40beda035.jpg
D'occasion,Mercedes-Benz,2016,Automatique,Sicap Liberté,16500000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/efca1ec2d8ef665f6f0ea3a66961f082/-/horizon-files-prod/ed/picture/qm5grnpg/160abf5a6a6208f9ce9f6d646206962db03ee1e7.jpg
Venant,Land Rover,2015,Automatique,Fass,15000000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/ac6ec115e2f3146ac51f345eff19390d/-/horizon-files-prod/ed/picture/qngpj4mz/0276a57241e5d847b90e165052b85374f029f4f4.jpg
Venant,Peugeot,2016,Manuelle,Point-e,7000000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/642accfcea2a54274763a606f1c2c235/-/horizon-files-prod/ed/picture/qm5g99wz/d58343e57d5b026133b0153e6d8bc933bdf3bd2e.jpg
Venant,Peugeot,2016,Automatique,Mamelles,6500000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/c349aee6f88f05c45f8d0f8fa9965b77/-/horizon-files-prod/ed/picture/qrz87jwg/084fa8554fdbfe034c92a20c1a57711935bcfd27.jpg
D'occasion,Toyota,2012,Automatique,Colobane,4800000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/4f58992139cdd9be8ebb6cd56f86257b/-/horizon-files-prod/ed/picture/qv4wz8wv/176329e6b5aa3579fdcb7e462b37f48302c17fb5.jpg
Venant,Hyundai,2020,Automatique,Pikine,11000000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/dbb2b23fb1d661838ed85ce3ef8b70aa/-/horizon-files-prod/ed/picture/qxjpeev0/8c963c6d07393323073a6f3f688a388375e71d80.jpg
Venant,Toyota,2021,Automatique,Sacré-cœur,43000000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/465ab1f95c936561868b39de5ee1a92b/-/horizon-files-prod/ed/picture/qzvp55k9/1763a39079cde00c2af1846943836a74a7294720.jpg
Venant,Toyota,2019,Automatique,Sacré-cœur,16000000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/b66a8d9b481888a058cb80794e136c70/-/horizon-files-prod/ed/picture/q0g7006m/ba6c3d9ba0bc333af7abf9155805b88a4f0e42c4.jpg
Venant,Hyundai,2021,Automatique,Sacré-cœur,23000000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/11fb60c7c9ab2ead39a8691b72eb158c/-/horizon-files-prod/ed/picture/qngpnnqg/446bbcbe4d7ee58587389e20b6300e1fd1dd3118.jpg
Venant,Peugeot,2017,Manuelle,Keur Massar,6500000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/ce298a1983e8492b9d482ba7f0b29cf8/-eyJvciI6MH0%3D/horizon-files-prod/ed/picture/qv4w50mm/52709d8abbd7e37e131594e105919a49e08eedad.jpg
Venant,Peugeot,2015,Automatique,Keur Massar,6000000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/982f776992d31fbfee0620031734470f/-/horizon-files-prod/ed/picture/q78wm2rx/544ba562f224da3f73eeb80872fadd5db501a9aa.jpg
Venant,Mazda,2016,Automatique,Guediawaye,8900000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/64cc9680ea3f4590cabea5bff3f4f186/-/horizon-files-prod/ed/picture/qrz84k2j/77e3003300f43e4317ad008f826e5b691f388e7b.jpg
Venant,Hyundai,2019,Automatique,VDN,17900000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/556524fa098b029b0b484b4f46facc0e/-/horizon-files-prod/ed/picture/q9mj6d25/be53be8726f399fb48e8689dd0302297e94be991.jpg
Venant,Land Rover,2016,Automatique,VDN,21900000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/8777b7e65089c29daeb40c05e367e122/-/horizon-files-prod/ed/picture/qenvqxgx/8cd49af5c7dd90f62d1056339e9a6b3fb221e1c1.jpg
Venant,Peugeot,2018,Automatique,VDN,13900000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/b56edcdfa1ea234cdf38165fa20a55d9/-/horizon-files-prod/ed/picture/q56drmxx/735a89a325d4ab1c973084c752b258534978bb91.jpg
Venant,BMW,2017,Automatique,Bargny,9000000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/bfa464b99876bae56fe4661a7b82cad9/-/horizon-files-prod/ed/picture/qwep559z/9c6dcb46389b40747a5b49706e7ebae1a07f3658.jpg
D'occasion,Ford,2013,Automatique,Amitié,5100000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/9e5936211d72dce81f1cc17095acc4e9/-eyJvciI6MH0%3D/horizon-files-prod/ed/picture/qrz84rkx/11a89735e215b749f3e0cad2da1783b30ba6678c.jpg
Venant,Jeep,2018,Automatique,Sacré-cœur,13000000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/2f7572e1d0ad2c18ae1e1739c953e501/-/horizon-files-prod/ed/picture/q6xd42xg/1a28ff7026a42e3311067f71fdb992f6d272e1a0.jpg
D'occasion,Mazda,2015,Automatique,Golf,5950000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/9ffa069a8e52551829fd7b5f4c247cad/-/horizon-files-prod/ed/picture/qv4w5x75/67d53130dc9cbe2aeb68568b1d54a6ce0838b263.jpg
Venant,Hyundai,2018,Automatique,Sacré-cœur,11500000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/1385440a5b613b3742f41081e0a97ac7/-/horizon-files-prod/ed/picture/q2j0n20k/c4ce2777183c6f46980a3d15b4b394a4e2e01369.jpg
D'occasion,Jeep,2015,Automatique,Liberte 6,10100000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/b6cf45162bb8a004a04dce44ba40c204/-/horizon-files-prod/ed/picture/qrz8jqzq/24dbf06569d0dd40cae429698ca141f7299d8e1a.jpg
D'occasion,Mitsubishi,2003,Manuelle,Liberte 6,3700000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/6527ce3853d65452c42350a5d9885b79/-/horizon-files-prod/ed/picture/qpdmq5wr/964c14ca85dc7f42d0f7fec5ff818ad7da70c716.jpg
Venant,Ford,2016,Automatique,Ouest foire,11000000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/a4e991593e2795ae1f7896b3924f4c5f/-/horizon-files-prod/ed/picture/qxjpen84/7c72474eb9464ced3a7fbb7c4769b54bae43ddb4.jpg
Venant,BMW,2009,Automatique,Ouest foire,5500000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/474853adfb33aed1bb9c6fc8dd9c81e3/-/horizon-files-prod/ed/picture/qwep59r6/ca98af10358b1690592bff5dbf0ffc0991aa341e.jpg
D'occasion,Kia,2014,Manuelle,Plateau,3200000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/24959b9728037050f3c486f136ecfa93/-/horizon-files-prod/ed/picture/q6xd42dz/4a9dbd0a4d775eb54b857be5f627ce0bf187c551.jpg
D'occasion,Ford,2014,Automatique,Plateau,3900000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/a333e911c32bfa4fb4c8ad600dbcecce/-/horizon-files-prod/ed/picture/qj4q7dqr/ff9ce2229927245981f9770d5eac6104bd8d0c1b.jpg
Venant,Kia,2017,Automatique,Saint-Louis,9800000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/0a987f2734a5ada99a0f608c38c19545/-/horizon-files-prod/ed/picture/q9mjnr26/0f675718a5aac46ba87b3f59226fdd3e3ee3376c.jpg
Venant,Mazda,2018,Automatique,Sacré-cœur,13500000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/797503178a83ee3ec91efa34456f2f00/-/horizon-files-prod/ed/picture/qngpnk0v/1de01977334da97b8a6891c4d7785032b9f17ea0.jpg
Venant,Ford,2017,Automatique,VDN,11300000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/b4432a87575e5aab09886e4a5a3802eb/-/horizon-files-prod/ed/picture/qxjpen7j/f502c628e877c3d26a0a8a4aa1dc56f5d88bda19.jpg
Venant,Jeep,2022,Automatique,Sacré-cœur,50000000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/29264d6a204688b9751971f6280f892a/-/horizon-files-prod/ed/picture/qde7jzn8/39ffd63ea88ac7463bf465bc978ca8e33874deac.jpg
Venant,Toyota,2017,Automatique,Sacré-cœur,45000000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/abdd9d223cabdfdaf3417f365330e239/-/horizon-files-prod/ed/picture/qv4w50xp/58a22c42bb35eb1b29bb6906e6b2e09945317104.jpg
Venant,Toyota,2020,Automatique,Liberte 6,24000000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/bbfa69023c78530a15b1500fdaf089fc/-/horizon-files-prod/ed/picture/qpdmq5ev/9296daa49690c0cff0cc45b894b381c74bdbb799.jpg
Venant,Hyundai,2017,Automatique,Liberte 6,7800000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/4244194b5d90e9382fdba11164dd2005/-/horizon-files-prod/ed/picture/q56d8207/65f113207d97d265cbbddb27187823f43780786d.jpg
D'occasion,Mazda,2013,Automatique,Liberte 6,3300000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/a65e5f0fb230f3739c90a64aefb5f427/-/horizon-files-prod/ed/picture/q9mj6275/2d7c7ccdeec440741340fa45fccc39dca2e9662c.jpg
Venant,Mazda,2016,Automatique,Liberte 6,9250000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/fc9d6d18c4bd34b38faf9c6d120fbeb5/-/horizon-files-prod/ed/picture/qxjpenrn/355f488e837699fd7d8056c465fc0cd96434be14.jpg
Venant,Hyundai,2014,Automatique,Liberte 6,5700000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/2a4632a81024b848867f9cf860015a1d/-/horizon-files-prod/ed/picture/q2j0n2me/e1a0b10b1ba0c04e796174e88e508f339e657c11.jpg
Venant,Audi,2018,Automatique,Sicap foire,14000000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/6d1c286f4a3a71f492606b0dfec6ee4b/-/horizon-files-prod/ed/picture/qwep55rm/77001814db9ffba7eadb64bcb50459412bf608ff.jpg
Venant,Peugeot,2018,Automatique,Liberte 6,16800000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/e290166d67cdc63f4afb0b9c06dd8378/-/horizon-files-prod/ed/picture/q0g70xek/d90b8a0014012983dcd84b1105d3f5ac28e9b239.jpg
Venant,Hyundai,2016,Automatique,Liberte 6,5800000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/13c36df009b10761f7cd858d1dacf9e6/-/horizon-files-prod/ed/picture/qxjpen0n/e2a93fcb2fb0964da3bf36b4651422a5d505ec02.jpg
Venant,Mitsubishi,2020,Automatique,Liberte 6,12500000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/5df0fe845b6a933c765421cd0d17b383/-/horizon-files-prod/ed/picture/q9mjdwjx/579464ab981f2ebbc5b4990fc58af9472286ec4a.jpg
D'occasion,Ford,2016,Automatique,Almadies,9800000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/689dba249712f8884586296592906269/-/horizon-files-prod/ed/picture/qwep59n6/74c1f044f8752f22d40649d363cdac4a4cbb3a71.jpg
D'occasion,Hyundai,2010,Manuelle,Colobane,2950000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/fe71d98ff90a7f08038b10c0671ca2e7/-/horizon-files-prod/ed/picture/q8v4xrz0/810c18d726fc97eef1c7e8052e2137c218cd6440.jpg
D'occasion,Peugeot,2013,Manuelle,Colobane,3400000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/87540fcc607cf02a10cb9b360ad0ffd6/-/horizon-files-prod/ed/picture/q2j0n9rg/5a9304291e820a2f8a0eb99b46ff2f0fe1add642.jpg
Venant,Mitsubishi,2016,Automatique,Colobane,7450000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/238bccd69a63dcc7487e171631906d8b/-/horizon-files-prod/ed/picture/q56d8q45/5e1140e0020f5b4847f4ad5ef2950d4dc16aa1ce.jpg
Venant,Mercedes-Benz,2017,Automatique,Sicap foire,32000000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/daef9190ec36f37f2d38c742e7de5780/-/horizon-files-prod/ed/picture/qq428xdp/1fa8b0149993d2f324a9e884320cbabbf2d545f3.jpg
D'occasion,Peugeot,2012,Manuelle,Mbao,3850000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/3844bd53120e705bc05231557a84650f/-/horizon-files-prod/ed/picture/qngpn87w/c196b673013934c61441957eb839958eb2525921.jpg
Venant,Mazda,2013,Automatique,Nord foire,4500000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/454bea818336996514d67c2f75e9ac7c/-/horizon-files-prod/ed/picture/qm5gn6km/61ef41b3f724687662a5a7e6dfa13ca288376f90.jpg
D'occasion,Hyundai,2016,Automatique,Point-e,7100000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/eb59deb88089ab3a923bb69a7ff738ef/-/horizon-files-prod/ed/picture/q0g77e8k/edb13d8f59bc6aa84746039326c17a45c57185e4.jpg
D'occasion,Chevrolet,2012,Automatique,Dieuppeul,3250000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/d5b7cb818c392a6cfde701fec6e23cf9/-/horizon-files-prod/ed/picture/q8v4xr9x/535fad760b2e32539e82c8feb1c842b971eae59a.jpg
Venant,Ford,2016,Automatique,Liberte 6,18000000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/85beff03ffcbe76b143fbec95404b188/-/horizon-files-prod/ed/picture/qv4w5k05/62165c44ffba0ea8bfee8676989e041cadd1545e.jpg
Venant,Peugeot,2019,Automatique,Nord foire,15000000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/bbeb5fddcbc701e93d32e4a482a17943/-/horizon-files-prod/ed/picture/q9mj6xnp/078c5453e1dffd0d5a58321889053b3bc9056c13.jpg
Venant,Kia,2017,Automatique,Plateau,7500000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/f80abae9794852ac7b5c6d39694341dd/-/horizon-files-prod/ed/picture/qm5g9qn6/c1cbd9ea1b8ca865480045a58162bfba9c7d4ab0.jpg
Venant,Ford,2020,Automatique,Cité keur gorgui,9500000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/66dfbc4c48d9ab1448756a437ac9de15/-/horizon-files-prod/ed/picture/qj4q79zz/4ea71b09be06d79191fe8fa73e25ec5f3ff87524.jpg
Venant,Mazda,2016,Automatique,Sud foire,6800000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/219aad611e395973d1ba7d391a4cb3f4/-/horizon-files-prod/ed/picture/qpdmqr82/d6af4ad589d69da1d97e5b540813a4072eedcfbd.jpg
Venant,Peugeot,2016,Automatique,VDN,7500000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/6731fed015347dfceffba115d77ee472/-/horizon-files-prod/ed/picture/qzvp5wxk/e9aa36c8f20a5290c182ceb6bb17bf09898db3d4.jpg
Venant,Nissan,2018,Automatique,VDN,8500000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/2d6ebb5f1f228a2ab6dc3de3ad0ece71/-/horizon-files-prod/ed/picture/q56d8qv2/8b01fda30b19192c63aa9d5c8e53fdf75f880a57.jpg
D'occasion,Peugeot,2009,Non spécifié,Yoff,2900000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/e2b2777d13a4946479f0b912f381c407/-/horizon-files-prod/ed/picture/qj4qmnn6/ee45abad8b005206c34ca157a63678b0143cf3d0.jpg
Venant,Peugeot,2017,Automatique,Sacré-cœur,7500000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/eec7321c3c36580cdc29cdf54d24628e/-/horizon-files-prod/ed/picture/qrz84m08/0bf480974b983c3ea117ae79c682167d48f01969.jpg
D'occasion,Hyundai,2012,Automatique,Cité Damel,4900000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/8e726d7d48f7bd012287faa391fd9cb3/-/horizon-files-prod/ed/picture/qrz84rmx/609f56b4d2aa69f84332fa95332af99f6bde0426.jpg
D'occasion,Ford,2015,Automatique,Mermoz,6500000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/a9ab21733d1221ed75d7d85dc0b419d6/-/horizon-files-prod/ed/picture/qpdmqr72/eea7963e8d1dbe4d6aa77815d34783fe4b833f03.jpg
Venant,Hyundai,2017,Automatique,VDN,7500000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/f1be931d1ea7fdf8902ed5fe05b8b634/-/horizon-files-prod/ed/picture/qv4w5vq8/545f09d0903ae4d1f9ee3b169f5011bdf18157c2.jpg
D'occasion,Mitsubishi,2020,Manuelle,Avenue Bourguiba,9500000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/d744e303a4e43f57bebd76a0be681608/-/horizon-files-prod/ed/picture/qxjpedgn/311d65abdaa58b008bb04e31d22439ce9e1d2390.jpg
Réconditionné,Ford,2020,Manuelle,Keur Massar,12800000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/b6c111d8be25edf44d771ca6cf947a37/-/horizon-files-prod/ed/picture/qde7jekw/b05d6f18bf9095426c2ae228e4ae9bf6d39992ad.jpg
D'occasion,Hyundai,2015,Manuelle,Avenue Bourguiba,4000000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/9b3b5e8df348c7beabe1fb795a747eb3/-/horizon-files-prod/ed/picture/qq424ppp/078eace84a220e08af74495d20400232a747464c.jpg
Venant,Jeep,2017,Automatique,VDN,9000000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/58f59eefc29377126864a0488b5d0397/-/horizon-files-prod/ed/picture/qrz84mk8/9b68f2a8587b4267a59c2f38f9f1c578295ee2ed.jpg
D'occasion,Citroen,2013,Manuelle,Colobane,4300000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/f801664930b097ffe5b64e43e0533f81/-/horizon-files-prod/ed/picture/qgqwj7kn/44e377c17f0cb42be38dd0c4ea679285f8246008.jpg
D'occasion,Range Rover,2014,Automatique,Mbour,10500000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/0c1bbdf86146657661dce62ef7c87569/-/horizon-files-prod/ed/picture/q78wr44x/8ddf4bbe320e1dfa3718ef9c0f20e4eb212f0f1d.jpg
Venant,Peugeot,2016,Manuelle,VDN,6700000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/b6ecefb42ce1dddf8a5417e44589df2e/-/horizon-files-prod/ed/picture/qwep5065/8699f4f7f8f7d4602bb2a492f471e872e1ec12de.jpg
D'occasion,Hyundai,2014,Automatique,VDN,5700000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/79fe6d6ba4808419f01c9aeb1f8f01df/-/horizon-files-prod/ed/picture/qkr8vnzw/d1e96aa342be1c38bcad55048847d4d26949dea3.jpg
D'occasion,Mitsubishi,2019,Automatique,Sicap foire,7500000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/22ee51a87d64780658bfba0cb56a7d49/-/horizon-files-prod/ed/picture/q44nqwz5/10f4a0ab4385090085de7b7a18acf5da12ed971c.jpg
D'occasion,Ford,2016,Automatique,Almadies,7800000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/b3fc6c57fa25c88ce604ac8664e52ff4/-/horizon-files-prod/ed/picture/qenvjz6k/b0b93b2c4a2378c6bcf3f4284f5de60b701e3dbf.jpg
Venant,Kia,2018,Automatique,Hann maristes,11500000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/f7b4598e89a75cb970370895521d2c8c/-/horizon-files-prod/ed/picture/qpdmq524/4d8696050abc8dee88c8765dd4acca63de45064f.jpg
D'occasion,Lexus,2017,Automatique,Liberte 6,9900000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/d5b65ab385c57ebc28f235643938a00f/-/horizon-files-prod/ed/picture/qm5g9v4w/f92e4b40e8951c5b6c7ddde7acf52076a0d30edd.jpg
Venant,Hyundai,2016,Automatique,Liberte 6,5700000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/4c6c7abd31a907c72f961637b5d29371/-/horizon-files-prod/ed/picture/q0g70x2g/81572326c44d4d60cef75deb45e0f761f247236d.jpg
D'occasion,Hyundai,2014,Automatique,Liberte 6,5500000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/0160837e34f06e2d37a05db109b988ce/-/horizon-files-prod/ed/picture/qwep585k/767c4ff4c7168b2a8ac66fc9c0cf685feafe187b.jpg
Venant,Mazda,2016,Automatique,Liberte 6,9200000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/c57415a1202caa8de493e400ef3098c5/-/horizon-files-prod/ed/picture/qzvp565v/68212771c8c9447c5b57d0912ff8c563bbc12114.jpg
Venant,Ford,2017,Automatique,Liberte 6,11000000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/4a39ede18aa2e5e3ee0aef5f624594f0/-/horizon-files-prod/ed/picture/q56d8neg/e19f3083d36193d013d525e21cf1f745f977d887.jpg
Venant,Peugeot,2019,Automatique,Sicap Sacré-cœur,16500000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/ddff9ef51482ecfd04885b058401a1a2/-/horizon-files-prod/ed/picture/q56d8nmg/7dff9b1bf1ac0dbdf451daa828929e24ae1db51c.jpg
Venant,Mazda,2018,Automatique,VDN,13500000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/180bb45d8dfb624da6f59e0080c7c001/-/horizon-files-prod/ed/picture/qkr8vzm8/f7fb7323959d066986750f590bfea07ba4109596.jpg
Venant,Chevrolet,2017,Automatique,Cité Damel,7300000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/1dc67da5caed71bac4ef61593d49b0ba/-/horizon-files-prod/ed/picture/qm5g9wmr/68bb1ebbb07be742b68841592d1c6103047c1809.jpg
D'occasion,Kia,2015,Automatique,Cité Damel,7200000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/7a5140db55509b0686981f727220b7b4/-/horizon-files-prod/ed/picture/q2j0nxz8/ef1c12204f34d1952b7004f9a19ba09162c7888d.jpg
Venant,Hyundai,2017,Automatique,VDN,11000000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/6eede853371dbb7fed373f447a6eadac/-/horizon-files-prod/ed/picture/qzvp5026/748a0cea6180aa9a67c68d360935b3d960851eef.jpg
Venant,Chevrolet,2016,Automatique,Guediawaye,6800000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/5a75df15b57f049a978f6ceaf1cb1079/-/horizon-files-prod/ed/picture/q78wr685/8c8643dd514af3afa9b57c6a44f02e892b376428.jpg
Venant,Kia,2016,Automatique,Cambérène,5800000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/e0386a5a9db28fa830e7bde6259b5feb/-/horizon-files-prod/ed/picture/qzvp52qd/1e563b8e8de70f7195afb9fc70f3aac7bad1b9bc.jpg
Venant,Ford,2017,Automatique,Guediawaye,7800000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/5b523f96a998ad7b2e0f73c59813be54/-/horizon-files-prod/ed/picture/qngpnqg0/b7042c9b1a4bd1df1cc6b4b8b7cee7faa8e19750.jpg
D'occasion,Citroen,2008,Manuelle,Plateau,2300000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/ede11bc759d5a693db3261bc758f64ae/-/horizon-files-prod/ed/picture/q9mj66x0/9a2955ca8250435227478a17e728e229a59d4267.jpg
Venant,Kia,2017,Automatique,Guediawaye,10500000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/1accb911cf8038dd9b0f35dbc2769213/-/horizon-files-prod/ed/picture/qpdmq4dv/d93354fc7c9caf8e412ea05b0e28590eb56a7a59.jpg
D'occasion,Kia,2016,Automatique,VDN,12500000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/eab0206ef4e12600a8bd2b485e6975e8/-/horizon-files-prod/ed/picture/qngpnqd0/18772f04f400760ab39301f1720153761b8ed3d3.jpg
D'occasion,Mercedes-Benz,2019,Automatique,Mamelles,22000000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/01404c96b758e3813b3476df9c889aa8/-/horizon-files-prod/ed/picture/qxjpe7jn/1c35d0acb329802263f26b04baa0946c51ad8e11.jpg
Venant,BMW,2021,Automatique,Sacré-cœur,48500000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/47eca4919f09acbeb1f7054fd30890e7/-/horizon-files-prod/ed/picture/qkr854jn/ca73b20d48821b689cf176631026f75951341066.jpg
Venant,Hyundai,2016,Automatique,Sacré-cœur,12000000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/84de8394aa32557fce91a11e5bb81e27/-/horizon-files-prod/ed/picture/q44n8xke/23ede9ddb28e79768c80efb4f5f733788741bbf6.jpg
Venant,Kia,2017,Automatique,Guediawaye,10500000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/6d00e2047e4255fc2c3ddb922c39b2d9/-/horizon-files-prod/ed/picture/qgqwj6wr/adc9a2806b207cb60387ecded0e0d0357cf5f017.jpg
Venant,Kia,2016,Automatique,Sicap Sacré-cœur,11000000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/ba58ef1a6436a2445e24756bfc9ec4d4/-/horizon-files-prod/ed/picture/qde7jgd4/8869c7cef0dfd53c3f2289f8d62ebfc15c76601f.jpg
