etat,marque,annee,boite_vitesse,adresse,prix,image_link-src
Neuf,Range Rover,2018,Automatique,Nord foire,35000000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/be442014dc8da630d0149f5bc0781bfe/-/horizon-files-prod/ed/picture/qgq9d2ek/e2209423d7e6e59578cb28b49c94aa0338ba1c11.jpg
Neuf,Mercedes-Benz,2022,Automatique,Zac Mbao,55000000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/df8839fceff8d3f307c199f29bbd24c5/-/horizon-files-prod/ed/picture/q9m92gzv/0434a537025db2eef1f85ce5ea8a03a37937cc91.jpg
Venant,Jeep,2016,Automatique,Nord foire,8500000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/c8d76a1f42f741dabf430b4cf0dbb788/-/horizon-files-prod/ed/picture/qm5pkmj9/003d1c341b4e073eb77c14eeb0090030fc4b4e25.jpg
Venant,Nissan,2017,Automatique,Nord foire,8500000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/db70dfe66ab994c7561b3c8097a7337c/-/horizon-files-prod/ed/picture/q9m920gj/1be97878d40a7956b6bf1993c5386bf64694d1b6.jpg
D'occasion,Mitsubishi,2016,Automatique,Nianing,8500000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/a20665835232f5905ee2572d72a9a845/-/horizon-files-prod/ed/picture/qzvdw5m6/2ab8998bfbd289c2a137601c210182548e57b13a.jpg
Neuf,Kia,2017,Automatique,Nord foire,10500000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/bf95fc265ffb18fc7a6c7a38ff1a993e/-/horizon-files-prod/ed/picture/q2jr2w6q/46dcd9e7c9b848d36c8abdecb32fc1a9e3bca408.jpg
Réconditionné,Citroen,2020,Manuelle,Hann Bel-Air,9500000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/0a74c55c1cd1d3dbc51d947321b65bde/-/horizon-files-prod/ed/picture/qv4e6zg2/d1a752d0d34d387f6961e93fca35a140f39a7df2.png
Venant,BMW,2020,Automatique,Almadies,64000000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/d1a5cb23f3822032dec80dbfe7bac4fd/-/horizon-files-prod/ed/picture/q0gwjzzd/0aba38be2092ba1c2aa71720456919fa8892b4c8.jpg
D'occasion,Kia,2019,Automatique,Hann Bel-Air,17500000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/c866d902c3b52fc18444ced8d1401747/-/horizon-files-prod/ed/picture/qwe27096/1350e6ebb35b939a760d3c4949f4cab4ce656370.png
D'occasion,Kia,2019,Automatique,Hann Bel-Air,18500000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/4b2c573dae0aaa879cfb963c1acfc152/-/horizon-files-prod/ed/picture/qgq9e7rk/f35080451d53a0541b2020241aa60e7e9a3bd001.png
Venant,Chevrolet,2015,Automatique,Ouakam,8000000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/eb1ccf9f83fe0e80dca66c3e9b247a48/-/horizon-files-prod/ed/picture/qdekp244/180822757977068c55856250f3cefaba5a34f817.jpg
Venant,Mazda,2016,Automatique,Grand-Dakar,7900000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/074e86407bc30c12c53fec25252ca052/-/horizon-files-prod/ed/picture/q6xkjk76/c7ad78652ed4809efaeef0a074e6d6a819fc49be.jpg
D'occasion,Mercedes-Benz,2016,Automatique,Sacré-cœur,18000000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/840bc5602ed68cd485fc57346057845e/-/horizon-files-prod/ed/picture/qwe24pwk/749b870e2b2f470e9a0a14e2ae51919f6247ac91.jpg
Venant,Ford,2017,Automatique,Parcelles Assainies,12000000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/4b916667919836a74a8cde3964999e41/-/horizon-files-prod/ed/picture/qpd6v7ex/3283bfe230e3b31ef233b0f28c0fb1f3b6ac6f9e.jpg
Venant,Hyundai,2019,Automatique,VDN,17500000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/644b06fb4e8b27ad3723125694817c1e/-/horizon-files-prod/ed/picture/q602v4v/f08d9b79ed8376fe1c0f06439f2b5354e83ecb1e.jpg
D'occasion,Citroen,2021,Automatique,Hann Bel-Air,12500000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/a45afb6d65096572d95a2a1b6aead703/-/horizon-files-prod/ed/picture/q56xmd0n/c166c8816b6f8859b26e8bafcf793fad6fb1fec1.png
Neuf,Autres,2024,Non spécifié,Sicap Liberté,1.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/15193d29680b69b6875ae2aeeae380de/-/horizon-files-prod/ed/picture/q448xpn5/2fcdc012647b321a17443d21348f13f7dbbb9c1b.jpg
Venant,Nissan,2018,Automatique,Nord foire,18500000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/9ea50b20136fe5a3f15de7e1579a7931/-/horizon-files-prod/ed/picture/qv4e2v4x/97ee7f72c4448ad136dec7362b9969d4e895bafe.jpg
Venant,Land Rover,2016,Automatique,Nord foire,12000000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/2985d1ed5f79ed9552dd7ad2119a825c/-/horizon-files-prod/ed/picture/qenq64vv/2d39dea13128b91c4a45482028944ea723aab22e.jpg
D'occasion,BMW,2014,Non spécifié,Sicap Sacré-cœur,8000000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/e1db35d4669f56a2477967713dece5d1/-/horizon-files-prod/ed/picture/qwe2d4kz/976f2790529efae5bc55d775f969378f767d7bdf.jpg
Venant,Infinity,2015,Automatique,VDN,6500000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/1371164352f2a45d4cdbfbedb0a7ecc1/-/horizon-files-prod/ed/picture/qrzvpnwj/0277626dc51d010c9fa592f10ff61f80ff909c43.jpg
D'occasion,Chevrolet,2011,Automatique,Rufisque,2800000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/717ef5958d38c1337f383bd089dd58ec/-/horizon-files-prod/ed/picture/qgq92zw2/407bdae3d9a2057b6a3ee27be0fe12f455a473c0.jpg
Venant,Ssangyong,2017,Automatique,Nord foire,7300000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/8481e3a235f17b9acbee4dfa5dc006c1/-/horizon-files-prod/ed/picture/qgq92jvq/ade66edf8f79a12964680f25f4d3c5aced2ee1b8.jpg
D'occasion,Mazda,2012,Automatique,Cité keur gorgui,3800000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/d23d8f543a8b7b3ab33bf9b5f0816bdd/-/horizon-files-prod/ed/picture/q448xx95/6c389d7e4c5acc95065720b09de72a9df874cfb7.jpg
Venant,Mazda,2016,Automatique,Nord foire,6300000.0,https://i.roamcdn.net/hz/ed/listing-thumb-543w/a0931221bbfd56b6769b93335d25b6ad/-/horizon-files-prod/ed/picture/q2jqpnqj/0df6bae8070f8c10f5ae1408b6bcfb15caf94874.jpg
